"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 02 08:40:12 UTC 2024","Tue Apr 02 08:40:12 UTC 2024","244","tests.tests_api","test_api","","","","Тест-013: Вход с невалидным паролем",""
"passed","Tue Apr 02 08:40:11 UTC 2024","Tue Apr 02 08:40:11 UTC 2024","0","tests.tests_api","test_api","","","","Тест-009: Ревью форма",""
"passed","Tue Apr 02 08:39:54 UTC 2024","Tue Apr 02 08:39:55 UTC 2024","690","tests.tests_api","test_api","","","","Тест-006: Проверка доступности урлы компании",""
"passed","Tue Apr 02 08:40:13 UTC 2024","Tue Apr 02 08:40:13 UTC 2024","203","tests.tests_api","test_api","","","","Тест-015 получение инфы по доствакам",""
"passed","Tue Apr 02 08:39:54 UTC 2024","Tue Apr 02 08:39:54 UTC 2024","478","tests.tests_api","test_api","","","","Тест-005: Проверка доступности урлы корзины",""
"passed","Tue Apr 02 08:39:52 UTC 2024","Tue Apr 02 08:39:52 UTC 2024","716","tests.tests_api","test_api","","","","Тест-002: Проверка отдачи несуществующей урлы и ошибки 404",""
"skipped","Tue Apr 02 08:40:12 UTC 2024","Tue Apr 02 08:40:12 UTC 2024","0","tests.tests_api","test_api","","","","Тест-011: Попытка доступа с изменённым x-gate-user-id после авторизации",""
"passed","Tue Apr 02 08:39:53 UTC 2024","Tue Apr 02 08:39:54 UTC 2024","657","tests.tests_api","test_api","","","","Тест-004: Проверка доступности урлы специальных предложений",""
"passed","Tue Apr 02 08:40:11 UTC 2024","Tue Apr 02 08:40:12 UTC 2024","199","tests.tests_api","test_api","","","","Тест-010: Вход с невалидными данными",""
"passed","Tue Apr 02 08:39:52 UTC 2024","Tue Apr 02 08:39:53 UTC 2024","468","tests.tests_api","test_api","","","","Тест-003: Проверка что хидер отдает верные данные/время",""
"passed","Tue Apr 02 08:39:50 UTC 2024","Tue Apr 02 08:39:52 UTC 2024","1829","tests.tests_api","test_api","","","","Тест-001: Смоук риквест проверки работы рестов",""
"passed","Tue Apr 02 08:40:09 UTC 2024","Tue Apr 02 08:40:10 UTC 2024","1260","tests.tests_api","test_api","","","","test_user_logout[user_credentials0]",""
"passed","Tue Apr 02 08:40:12 UTC 2024","Tue Apr 02 08:40:12 UTC 2024","221","tests.tests_api","test_api","","","","Тест-012: Вход с невалидными данными",""
"passed","Tue Apr 02 08:39:55 UTC 2024","Tue Apr 02 08:40:09 UTC 2024","13961","tests.tests_api","test_api","","","","test_user_login[user_credentials0]",""
"passed","Tue Apr 02 08:40:12 UTC 2024","Tue Apr 02 08:40:13 UTC 2024","1071","tests.tests_api","test_api","","","","Тест-014 Ошибка при обращении к апи без сертификата",""
